chem_key,methane,nitrous_oxide
20140,6.74,2.84
20141,7.02,2.93
20142,7.13,2.89
20143,7.21,2.93
20144,7.47,2.76
20145,7.83,2.88
20146,8.67,3.12
20147,9.4,3.43
20148,9.96,3.72
20149,10.78,4.0
20150,9.56,3.48
20151,8.35,3.07
20152,10.2,3.56
20153,10.51,3.69
20154,10.5,3.67
20155,10.73,3.82
20156,11.18,3.66
20157,11.61,3.6
20158,12.9,3.88
20159,13.39,4.16
20160,15.2,4.58
20161,15.5,4.68
20162,15.63,4.72
20163,15.82,4.77
20164,16.3,5.09
20165,15.96,4.62
20166,15.83,5.05
20167,15.61,5.27
20168,15.91,4.69
20169,16.37,5.01
20412,714.81,312.74
20413,740.89,316.52
20414,748.77,319.64
20415,762.15,321.66
20416,782.85,383.62
20417,798.76,388.34
20418,818.49,374.32
20419,829.01,378.87
20420,866.65,405.11
20421,860.87,403.42
20422,854.14,404.59
20423,828.8,410.59
20424,845.29,423.93
20425,897.75,448.4
20426,915.18,446.72
20427,961.11,470.72
20428,959.01,459.81
20429,991.26,479.83
20430,1015.24,491.5
20431,996.71,483.65
20432,1040.5,510.03
20433,1005.92,514.89
20434,1045.68,519.76
20435,1028.12,519.23
20436,1026.13,519.81
20437,1043.63,531.16
20438,1068.96,547.21
20439,1093.86,548.6
20440,1110.65,547.7
20441,1127.96,547.52
20928,3.55,1.56
20929,3.5,1.19
20930,3.42,1.11
20931,3.5,1.16
20932,4.09,1.37
20933,4.09,1.34
20934,3.92,1.19
20935,3.72,1.13
20936,3.57,1.16
20937,3.62,1.13
20938,3.71,1.21
20939,3.61,1.14
20940,3.56,1.29
20941,3.57,1.3
20942,3.5,1.26
20943,3.49,1.27
20944,3.44,1.21
20945,3.31,1.21
20946,3.13,1.13
20947,3.02,1.12
20948,3.03,1.11
20949,3.02,1.15
20950,3.06,1.15
20951,3.06,1.12
20952,3.09,1.14
20953,3.11,1.19
20954,3.09,1.23
20955,3.05,1.19
20956,3.01,1.08
20957,2.85,1.1
201100,52.7,5.11
201101,53.58,4.9
201102,54.14,4.87
201103,57.34,4.78
201104,58.29,4.37
201105,62.49,4.28
201106,65.7,4.38
201107,67.38,4.24
201108,68.78,4.82
201109,71.37,4.76
201110,74.86,7.64
201111,72.28,7.64
201112,74.19,7.48
201113,80.52,7.74
201114,81.19,8.4
201115,84.3,7.8
201116,85.69,8.16
201117,85.28,8.26
201118,85.58,7.92
201119,82.34,8.48
201120,82.8,8.74
201121,81.33,9.4
201122,85.78,10.43
201123,85.52,10.92
201124,89.3,11.72
201125,89.63,12.32
201126,93.02,12.32
201127,93.03,12.45
201128,94.4,12.51
201129,92.36,12.63
201544,0.02,0.0
201545,0.02,0.0
201546,0.02,0.0
201547,0.03,0.0
201548,0.03,0.0
201549,0.03,0.0
201550,0.03,0.0
201551,0.03,0.0
201552,0.03,0.0
201553,0.03,0.0
201554,0.03,0.0
201555,0.03,0.0
201556,0.04,0.0
201557,0.04,0.0
201558,0.04,0.0
201559,0.04,0.0
201560,0.04,0.0
201561,0.05,0.0
201562,0.05,0.0
201563,0.05,0.0
201564,0.05,0.0
201565,0.05,0.0
201566,0.05,0.0
201567,0.05,0.0
201568,0.05,0.0
201569,0.05,0.0
201570,0.05,0.0
201571,0.05,0.0
201572,0.05,0.0
201573,0.05,0.0
201716,28.22,21.09
201717,28.5,21.13
201718,28.95,21.18
201719,29.58,21.13
201720,30.49,21.09
201721,32.23,21.08
201722,37.67,18.12
201723,36.64,17.42
201724,42.65,20.17
201725,40.85,18.7
201726,37.0,17.77
201727,30.99,18.88
201728,33.08,20.7
201729,35.64,23.49
201730,37.16,24.3
201731,38.99,24.37
201732,38.0,22.49
201733,40.78,23.72
201734,42.0,22.96
201735,41.77,23.77
201736,43.42,24.95
201737,42.33,24.64
201738,41.84,24.13
201739,41.22,24.04
201740,40.6,23.77
201741,43.27,24.98
201742,43.18,24.61
201743,44.58,26.32
201744,38.44,21.67
201745,41.32,25.69
202231,0.13,0.01
202232,0.13,0.01
202233,0.14,0.01
202234,0.14,0.01
202235,0.15,0.02
202236,0.15,0.02
202237,0.16,0.02
202238,0.16,0.02
202239,0.17,0.02
202240,0.17,0.02
202241,0.18,0.02
202242,0.18,0.02
202243,0.18,0.02
202244,0.19,0.02
202245,0.19,0.02
202246,0.19,0.02
202247,0.19,0.02
202248,0.2,0.02
202249,0.2,0.02
202250,0.2,0.02
202251,0.19,0.01
202252,0.19,0.01
202253,0.19,0.01
202254,0.19,0.01
202255,0.19,0.01
202256,0.2,0.01
202257,0.2,0.01
202258,0.2,0.01
202259,0.2,0.01
202260,0.2,0.01
202403,110.25,35.93
202404,109.37,35.81
202405,111.32,36.54
202406,110.2,36.07
202407,111.15,37.03
202408,112.63,37.07
202409,112.87,37.89
202410,113.77,38.37
202411,112.56,37.96
202412,117.5,38.5
202413,117.51,39.91
202414,116.24,39.25
202415,119.5,39.8
202416,127.2,43.79
202417,129.11,44.1
202418,128.52,43.67
202419,130.77,45.0
202420,131.03,47.4
202421,130.45,46.12
202422,124.34,40.6
202423,116.14,41.67
202424,115.37,42.74
202425,118.86,42.24
202426,120.81,44.01
202427,121.59,43.9
202428,122.12,43.62
202429,123.69,46.55
202430,127.87,49.38
202431,127.61,48.28
202432,128.88,48.61
202579,3.65,0.91
202580,3.45,0.87
202581,3.16,0.76
202582,2.9,0.64
202583,2.73,0.55
202584,2.57,0.54
202585,2.41,0.54
202586,2.26,0.54
202587,2.06,0.52
202588,1.91,0.51
202589,1.8,0.53
202590,1.85,0.54
202591,1.9,0.63
202592,1.95,0.61
202593,2.01,0.66
202594,2.05,0.64
202595,2.1,0.95
202596,2.17,0.79
202597,2.21,0.77
202598,2.17,0.82
202599,2.21,0.77
202600,2.21,0.8
202601,2.27,0.96
202602,2.36,1.02
202603,2.41,0.98
202604,2.47,1.09
202605,2.49,1.62
202606,2.43,1.22
202607,2.35,1.17
202608,2.32,1.27
203022,2672.5,777.41
203023,2680.96,789.8
203024,2693.71,809.19
203025,2740.02,807.17
203026,2770.17,834.15
203027,2839.47,889.3
203028,2825.23,920.7
203029,3057.09,916.62
203030,2913.58,934.32
203031,2900.54,942.79
203032,2923.09,939.51
203033,2900.88,943.02
203034,3007.69,971.28
203035,2991.33,994.55
203036,3171.29,1040.39
203037,3174.99,1055.31
203038,3349.09,1088.44
203039,3287.21,1110.74
203040,3333.63,1122.72
203041,3450.79,1165.99
203042,3445.44,1187.82
203043,3579.33,1200.44
203044,3594.37,1223.92
203045,3628.94,1242.7
203046,3749.87,1267.38
203047,3775.48,1290.91
203048,3677.46,1300.08
203049,3716.51,1319.94
203050,3817.08,1322.39
203051,3877.76,1337.94
203738,141.07,80.09
203739,140.91,79.09
203740,138.9,78.2
203741,137.46,77.92
203742,138.45,77.71
203743,137.05,77.5
203744,131.56,71.87
203745,134.08,71.78
203746,136.0,75.55
203747,152.62,93.1
203748,158.25,99.5
203749,167.17,109.86
203750,161.55,103.77
203751,123.59,65.19
203752,140.73,85.42
203753,121.4,62.57
203754,142.45,84.75
203755,137.7,77.96
203756,120.7,61.63
203757,125.88,66.88
203758,115.16,54.38
203759,164.56,107.71
203760,163.4,107.36
203761,127.03,64.44
203762,138.7,76.46
203763,134.8,72.5
203764,119.21,58.23
203765,141.83,80.04
203766,141.41,77.69
203767,135.8,71.46
203942,11.85,4.97
203943,11.85,4.99
203944,11.65,4.78
203945,11.33,4.71
203946,10.93,4.67
203947,10.45,4.65
203948,10.27,4.76
203949,9.95,4.69
203950,9.67,4.7
203951,9.54,4.7
203952,9.28,4.66
203953,9.17,4.55
203954,9.05,4.47
203955,8.9,4.48
203956,8.81,3.93
203957,8.63,3.97
203958,8.49,3.96
203959,8.33,3.87
203960,8.25,4.0
203961,8.07,3.77
203962,8.11,3.78
203963,7.92,3.78
203964,7.77,3.83
203965,7.63,3.85
203966,7.44,3.93
203967,7.39,3.95
203968,7.31,3.96
203969,7.27,3.89
203970,7.04,3.83
203971,6.92,3.85
204118,19.22,2.98
204119,18.18,3.0
204120,16.05,2.65
204121,11.22,2.41
204122,6.56,2.27
204123,6.68,2.26
204124,6.47,2.17
204125,6.56,2.28
204126,6.91,2.32
204127,7.44,2.36
204128,7.58,2.4
204129,8.09,2.58
204130,8.22,2.7
204131,8.4,2.79
204132,8.62,2.93
204133,9.59,3.0
204134,10.83,3.14
204135,12.24,3.15
204136,13.55,3.35
204137,13.94,3.39
204138,14.02,3.36
204139,13.75,3.46
204140,14.01,3.57
204141,14.32,3.62
204142,14.27,3.71
204143,14.23,4.1
204144,14.13,4.05
204145,13.87,3.96
204146,14.22,4.27
204147,14.67,4.13
204290,0.17,0.04
204291,0.18,0.04
204292,0.18,0.04
204293,0.18,0.04
204294,0.18,0.04
204295,0.19,0.04
204296,0.23,0.05
204297,0.23,0.05
204298,0.24,0.06
204299,0.24,0.05
204300,0.26,0.05
204301,0.18,0.03
204302,0.18,0.03
204303,0.17,0.02
204304,0.2,0.05
204305,0.2,0.04
204306,0.19,0.03
204307,0.19,0.03
204308,0.22,0.05
204309,0.21,0.04
204310,0.2,0.03
204311,0.23,0.06
204312,0.2,0.03
204313,0.24,0.06
204314,0.21,0.03
204315,0.22,0.04
204316,0.23,0.05
204317,0.25,0.07
204318,0.22,0.03
204319,0.22,0.03
204462,4.82,0.05
204463,4.82,0.05
204464,5.07,0.05
204465,5.25,0.05
204466,5.39,0.06
204467,5.89,0.06
204468,6.43,0.06
204469,7.08,0.06
204470,7.67,0.07
204471,8.22,0.06
204472,8.77,0.07
204473,9.09,0.07
204474,9.42,0.08
204475,9.74,0.09
204476,9.98,0.1
204477,10.48,0.11
204478,11.09,0.11
204479,11.7,0.11
204480,12.35,0.12
204481,12.86,0.11
204482,13.48,0.13
204483,13.9,0.13
204484,14.14,0.13
204485,15.03,0.14
204486,15.48,0.14
204487,15.8,0.15
204488,16.24,0.15
204489,16.61,0.16
204490,16.9,0.19
204491,17.41,0.18
204634,66.31,16.47
204635,66.41,17.26
204636,67.23,17.58
204637,67.55,17.96
204638,68.52,18.62
204639,69.38,19.9
204640,69.11,20.41
204641,69.66,19.94
204642,69.33,19.97
204643,71.47,21.22
204644,72.19,21.38
204645,72.58,21.93
204646,73.97,22.42
204647,75.13,21.99
204648,75.12,22.12
204649,77.07,22.92
204650,78.69,24.11
204651,79.56,24.03
204652,82.54,26.16
204653,83.95,25.69
204654,85.59,26.16
204655,86.3,27.22
204656,87.03,26.63
204657,88.12,26.89
204658,88.84,27.79
204659,89.84,28.38
204660,89.91,27.42
204661,92.43,28.59
204662,92.07,29.35
204663,92.66,28.93
204806,2.07,0.05
204807,2.11,0.05
204808,2.15,0.05
204809,2.18,0.05
204810,2.22,0.05
204811,2.23,0.05
204812,2.24,0.05
204813,2.25,0.05
204814,2.26,0.05
204815,2.27,0.05
204816,2.28,0.05
204817,2.27,0.04
204818,2.27,0.04
204819,2.27,0.04
204820,2.27,0.05
204821,2.27,0.04
204822,2.27,0.04
204823,2.27,0.04
204824,2.28,0.04
204825,2.29,0.04
204826,2.29,0.04
204827,2.3,0.04
204828,2.31,0.04
204829,2.31,0.04
204830,2.32,0.04
204831,2.32,0.04
204832,2.33,0.04
204833,2.34,0.04
204834,2.34,0.04
204835,2.35,0.04
204982,20.55,17.51
204983,20.13,16.49
204984,18.01,13.09
204985,17.1,12.77
204986,16.26,12.06
204987,15.44,11.92
204988,15.19,11.94
204989,14.97,11.98
204990,14.91,11.9
204991,14.75,11.86
204992,14.34,11.62
204993,14.1,11.63
204994,13.95,11.36
204995,14.01,11.57
204996,14.4,11.76
204997,14.16,12.12
204998,14.57,12.63
204999,14.95,12.46
205000,15.78,12.99
205001,15.84,13.13
205002,16.3,13.03
205003,15.99,13.53
205004,16.27,13.41
205005,16.92,13.15
205006,17.02,12.76
205007,17.24,12.62
205008,16.82,11.86
205009,17.01,12.28
205010,17.05,12.18
205011,17.02,12.07
205175,13.26,8.17
205176,13.35,8.1
205177,13.16,7.73
205178,12.97,7.95
205179,13.01,8.45
205180,13.13,8.83
205181,13.01,9.32
205182,12.82,9.02
205183,12.55,9.11
205184,12.61,9.05
205185,12.14,7.68
205186,11.63,7.47
205187,11.08,7.96
205188,10.4,7.2
205189,10.26,7.28
205190,9.99,7.16
205191,9.83,6.15
205192,9.65,5.52
205193,9.45,5.48
205194,9.36,5.68
205195,9.24,6.19
205196,8.99,4.94
205197,8.83,4.95
205198,8.61,4.84
205199,8.54,4.82
205200,8.53,4.78
205201,8.45,4.62
205202,8.17,4.57
205203,8.19,4.59
205204,8.08,4.58
205347,6.15,0.14
205348,6.26,0.14
205349,6.4,0.14
205350,6.51,0.14
205351,6.63,0.14
205352,5.54,0.13
205353,4.49,0.11
205354,3.41,0.1
205355,2.41,0.13
205356,1.31,0.12
205357,0.27,0.13
205358,0.23,0.12
205359,0.26,0.2
205360,0.36,0.34
205361,0.25,0.1
205362,0.3,0.16
205363,0.33,0.12
205364,0.42,0.17
205365,0.44,0.14
205366,0.48,0.16
205367,0.54,0.15
205368,0.68,0.33
205369,0.51,0.16
205370,0.57,0.27
205371,0.47,0.23
205372,0.48,0.25
205373,0.5,0.25
205374,0.54,0.26
205375,0.52,0.21
205376,0.56,0.26
205519,2.63,1.78
205520,2.72,1.85
205521,2.76,1.87
205522,2.77,1.9
205523,2.94,2.0
205524,2.76,1.94
205525,3.19,2.25
205526,3.19,2.32
205527,3.92,2.62
205528,3.67,2.52
205529,3.65,2.58
205530,2.71,1.99
205531,2.97,2.32
205532,2.87,2.06
205533,2.83,1.97
205534,3.27,2.45
205535,3.12,2.19
205536,3.2,2.26
205537,3.08,2.03
205538,3.18,2.14
205539,3.12,2.16
205540,3.25,2.22
205541,3.3,2.27
205542,3.52,2.38
205543,3.47,2.38
205544,3.54,2.34
205545,3.69,2.57
205546,3.73,2.49
205547,3.84,2.86
205548,3.94,2.75
