country,iso_code,population,gdp,co2 without land_use,co2
Afghanistan,AFG,10188908.779069768,21464366829.449276,2.986219178082192,7.992666852500797
Aland Islands,ALA,,,,
Albania,ALB,1573109.808139535,11606623376.213333,3.301561797752809,5.9428408675202515
Algeria,DZA,12761087.738372093,165104432373.1831,45.87324528301887,53.05785574813515
American Samoa,ASM,35275.10975609756,,,
Andorra,AND,16486.044052863435,,0.056933823529411766,0.061654753761969903
Angola,AGO,7311827.127906977,37925003182.37681,9.126666666666667,70.92197480620155
Anguilla,AIA,8289.963414634147,,0.11215625,0.11215625
Antarctica,ATA,,,0.0074761904761904766,
Antigua and Barbuda,ATG,49153.34302325582,,0.3385230769230769,0.2914416815742397
Argentina,ARG,16553385.63372093,261716846312.91803,63.974074074074075,141.45852174849267
Armenia,ARM,1639229.9886363635,25264284748.8,2.254664705882353,3.7242577291381673
Aruba,ABW,65732.46913580247,,0.80065625,
Australia,AUS,6932659.775330396,184034051506.65326,69.73834926470587,149.6397446135431
Austria,AUT,6086832.642156863,101075638065.87013,27.312245098039217,28.551814865481077
Azerbaijan,AZE,3956693.914772727,76422953728.0,14.885164705882353,19.872670519835843
Bahamas,BHS,136294.1976744186,,2.3837916666666668,2.42578003875969
Bahrain,BHR,293493.83720930235,12027691400.347826,10.92447191011236,10.92447191011236
Bangladesh,BGD,57785175.66860465,167123546468.17392,21.713802631578947,49.48501774785802
Barbados,BRB,206909.88953488372,2610624562.0869565,0.6760722891566264,0.6939618240403473
Belarus,BLR,6864681.011363637,121014447923.2,29.458688235294115,52.75322893296853
Belgium,BEL,7574180.595854922,121657026323.237,65.51377202072538,67.60694643933003
Belize,BLZ,103851.27325581395,,0.27544444444444444,1.8426595607235141
Benin,BEN,3081012.6627906975,9034832198.492754,1.85996875,9.056102470930231
Bermuda,BMU,50037.04878048781,,0.4098611111111111,
Bhutan,BTN,356327.36627906974,,0.3791923076923077,6.60843649373882
Bolivia,BOL,4001166.3604651163,17690479058.82353,6.144244680851063,50.83505863433943
Bonaire Sint Eustatius and Saba,BES,13385.916666666666,,0.08982291666666666,0.09110198643410851
Bosnia and Herzegovina,BIH,2605605.093023256,22561896960.0,7.6536269841269835,14.045173495754891
Botswana,BWA,640731.5174418605,8777158167.42029,3.12938,4.699490465116279
Brazil,BRA,69659564.13953489,583707825268.0533,137.78872727272727,798.9900761099366
British Virgin Islands,VGB,15084.518987341773,,0.09466666666666666,
Brunei,BRN,84865.94713656387,,1.3649301470588235,1.866203402872777
Bulgaria,BGR,5842948.877906977,56110474282.22681,27.470120567375886,34.521167079003796
Burkina Faso,BFA,5573172.0813953485,11207259729.623188,1.1651875,7.768036337209303
Burundi,BDI,3287932.197674419,4289649335.652174,0.19205555555555553,4.413282299741602
Cambodia,KHM,4680900.933920705,16748875160.115942,0.6811875,28.67882703488372
Cameroon,CMR,6821113.2558139535,24892263231.072464,3.369222222222222,23.77045478036176
Canada,CAN,11669453.479820628,374577307869.0909,143.94692827004218,367.99691082818174
Cape Verde,CPV,236984.6511627907,1104647637.1014493,0.21255555555555555,0.2566602067183462
Central African Republic,CAF,1861622.5872093022,3005966215.42029,0.1716984126984127,5.343494924326319
Chad,TCD,3944274.715116279,7539449607.42029,0.581015873015873,7.861760059062385
Chile,CHL,7236491.441860465,71203849442.46153,23.596456692913385,50.78248576268083
China,CHN,678595022.8953488,3898250403649.4883,2060.7670826446283,2407.844582644628
Christmas Island,CXR,,,0.09521428571428571,
Colombia,COL,15612603.122093024,145578886743.08197,34.688524752475246,153.0814956827078
Comoros,COM,232148.82558139536,500227044.4057971,0.08933333333333333,0.18453100775193798
Congo,COG,1407124.488372093,9838663262.608696,1.752920634920635,22.432763658176448
Cook Islands,COK,16527.9012345679,,0.04596226415094339,
Costa Rica,CRI,1440999.3546511629,18025066713.21212,3.6287083333333334,15.538173449612403
Cote d'Ivoire,CIV,4743542.616740088,30938912100.173912,1.2782463235294117,74.33967655608755
Croatia,HRV,3351814.976744186,50409923247.76119,8.873809523809523,14.976908361018825
Cuba,CUB,5497490.587209302,27808704066.16949,20.20788888888889,43.97277842377261
Curacao,CUW,148804.47222222222,,5.996031250000001,6.02424636627907
Cyprus,CYP,496332.77906976745,11027433950.608696,4.187069444444444,4.568592700258398
Czechia,CZE,9498565.279069768,177865597931.10205,74.54932716049383,73.33614692793569
