index,temp_key,chem_key,country_key,iso_code,population,gdp,co2 without land_use,co2
99,3099,2099,100,AFG,7356890.0,,0.015,8.039
100,30100,20100,100,AFG,7480464.0,9421400064.0,0.084,8.584
101,30101,20101,100,AFG,7571542.0,9692279808.0,0.092,9.142000000000001
102,30102,20102,100,AFG,7667534.0,10017325056.0,0.092,9.948
103,30103,20103,100,AFG,7764549.0,10630519808.0,0.106,10.915
104,30104,20104,100,AFG,7864289.0,10866360320.0,0.106,11.684
105,30105,20105,100,AFG,7971933.0,11078185984.0,0.154,12.795
106,30106,20106,100,AFG,8087730.0,11581236224.0,0.183,13.703
107,30107,20107,100,AFG,8210207.0,11578973184.0,0.293,14.766
108,30108,20108,100,AFG,8333827.0,12238841856.0,0.33,15.829
109,30109,20109,100,AFG,8468220.0,12579874816.0,0.385,16.507
110,30110,20110,100,AFG,8622473.0,13033253888.0,0.414,18.478
111,30111,20111,100,AFG,8790140.0,13146287104.0,0.491,16.429000000000002
112,30112,20112,100,AFG,8969055.0,13367633920.0,0.689,14.979
113,30113,20113,100,AFG,9157463.0,13630298112.0,0.707,14.850000000000001
114,30114,20114,100,AFG,9355510.0,13870503936.0,0.839,12.087
115,30115,20115,100,AFG,9565154.0,14187419648.0,1.007,12.072
116,30116,20116,100,AFG,9783153.0,14325264384.0,1.091,13.036
117,30117,20117,100,AFG,10010037.0,14734025728.0,1.282,10.442
118,30118,20118,100,AFG,10247782.0,15254250496.0,1.223,9.247
119,30119,20119,100,AFG,10494491.0,15493193728.0,0.941,8.196
120,30120,20120,100,AFG,10752973.0,15812232192.0,1.67,8.888
121,30121,20121,100,AFG,11015853.0,15770513408.0,1.894,8.158999999999999
122,30122,20122,100,AFG,11286753.0,13170552832.0,1.53,7.5760000000000005
123,30123,20123,100,AFG,11575308.0,13568630784.0,1.635,6.617999999999999
124,30124,20124,100,AFG,11869881.0,14309107712.0,1.913,6.53
125,30125,20125,100,AFG,12157390.0,15177767936.0,2.121,6.260999999999999
126,30126,20126,100,AFG,12425276.0,16023605248.0,1.981,5.938
127,30127,20127,100,AFG,12687308.0,15207360512.0,2.384,6.121
128,30128,20128,100,AFG,12938864.0,16337829888.0,2.153,5.341
129,30129,20129,100,AFG,12986378.0,15913788416.0,2.233,5.897
130,30130,20130,100,AFG,12486640.0,15329836032.0,1.756,4.907
131,30131,20131,100,AFG,11155196.0,15645343744.0,1.978,5.789
132,30132,20132,100,AFG,10088290.0,15980409856.0,2.095,4.806
133,30133,20133,100,AFG,9951447.0,16755333120.0,2.52,5.378
134,30134,20134,100,AFG,10243689.0,17072152576.0,2.822,5.167
135,30135,20135,100,AFG,10512220.0,17108480000.0,3.501,5.295999999999999
136,30136,20136,100,AFG,10448447.0,17641345024.0,3.134,4.929
137,30137,20137,100,AFG,10322767.0,15810816000.0,3.114,4.359999999999999
138,30138,20138,100,AFG,10383459.0,14499068928.0,2.857,4.2490000000000006
139,30139,20139,100,AFG,10673172.0,13489497088.0,2.765,3.9370000000000003
140,30140,20140,100,AFG,10694804.0,13065984000.0,2.024,2.427
141,30141,20141,100,AFG,10745168.0,12047362048.0,1.914,2.134
142,30142,20142,100,AFG,12057436.0,12677538816.0,1.482,0.16300000000000003
143,30143,20143,100,AFG,14003764.0,9834580992.0,1.487,-2.25
144,30144,20144,100,AFG,15455560.0,7919857152.0,1.454,-1.8070000000000002
145,30145,20145,100,AFG,16418911.0,12307525632.0,1.417,-0.671
146,30146,20146,100,AFG,17106600.0,12070125568.0,1.37,1.9200000000000002
147,30147,20147,100,AFG,17788818.0,11850752000.0,1.304,5.737
148,30148,20148,100,AFG,18493134.0,11692172288.0,1.279,1.462
149,30149,20149,100,AFG,19262854.0,11517317120.0,1.092,1.0190000000000001
150,30150,20150,100,AFG,19542986.0,11283792896.0,1.047,0.8639999999999999
151,30151,20151,100,AFG,19688634.0,11021273088.0,1.069,1.948
152,30152,20152,100,AFG,21000258.0,18804871168.0,1.341,9.475
153,30153,20153,100,AFG,22645136.0,21074343936.0,1.56,5.774000000000001
154,30154,20154,100,AFG,23553554.0,22332571648.0,1.237,3.692
155,30155,20155,100,AFG,24411196.0,25397688320.0,1.89,3.356
156,30156,20156,100,AFG,25442946.0,28704401408.0,2.159,3.441
157,30157,20157,100,AFG,25903306.0,34507530240.0,2.8,3.7159999999999997
158,30158,20158,100,AFG,26427204.0,36561043456.0,4.254,5.06
159,30159,20159,100,AFG,27385310.0,44358721536.0,6.392,7.0520000000000005
160,30160,20160,100,AFG,28189672.0,47399424000.0,8.365,8.878
161,30161,20161,100,AFG,29249156.0,53326336000.0,11.838,12.277999999999999
162,30162,20162,100,AFG,30466484.0,59166900224.0,10.035,10.475
163,30163,20163,100,AFG,31541216.0,62993698816.0,9.251,9.471
164,30164,20164,100,AFG,32716214.0,64346107904.0,9.17,9.28
165,30165,20165,100,AFG,33753500.0,62783393792.0,9.791,10.194
166,30166,20166,100,AFG,34636212.0,64297426944.0,9.068,9.508
167,30167,20167,100,AFG,35643420.0,68752801792.0,9.868,10.234
168,30168,20168,100,AFG,36686788.0,67594969088.0,10.818,11.148
169,30169,20169,100,AFG,37769496.0,,11.082,11.412
170,30170,20170,100,AFG,38972236.0,,11.682,12.012
