temp_key,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o
301,0.165,0.0,0.0,0.0,0.0
302,0.164,0.0,0.0,0.0,0.0
303,0.164,0.0,0.0,0.0,0.0
304,0.163,0.0,0.0,0.0,0.0
305,0.162,0.0,0.0,0.0,0.0
306,0.162,0.0,0.0,0.0,0.0
307,0.162,0.0,0.0,0.0,0.0
308,0.162,0.0,0.0,0.0,0.0
309,0.161,0.0,0.0,0.0,0.0
3010,0.162,0.0,0.0,0.0,0.0
3011,0.162,0.0,0.0,0.0,0.0
3012,0.163,0.0,0.0,0.0,0.0
3013,0.163,0.0,0.0,0.0,0.0
3014,0.164,0.0,0.0,0.0,0.0
3015,0.164,0.0,0.0,0.0,0.0
3016,0.165,0.0,0.0,0.0,0.0
3017,0.165,0.0,0.0,0.0,0.0
3018,0.165,0.0,0.0,0.0,0.0
3019,0.166,0.0,0.0,0.0,0.0
3020,0.166,0.0,0.0,0.0,0.0
3021,0.166,0.0,0.0,0.0,0.0
3022,0.166,0.0,0.0,0.0,0.0
3023,0.166,0.0,0.0,0.0,0.0
3024,0.165,0.0,0.0,0.0,0.0
3025,0.165,0.0,0.0,0.0,0.0
3026,0.165,0.0,0.0,0.0,0.0
3027,0.165,0.0,0.0,0.0,0.0
3028,0.165,0.0,0.0,0.0,0.0
3029,0.164,0.0,0.0,0.0,0.0
3030,0.164,0.0,0.0,0.0,0.0
3031,0.164,0.0,0.0,0.0,0.0
3032,0.163,0.0,0.0,0.0,0.0
3033,0.163,0.0,0.0,0.0,0.0
3034,0.163,0.0,0.0,0.0,0.0
3035,0.162,0.0,0.0,0.0,0.0
3036,0.162,0.0,0.0,0.0,0.0
3037,0.162,0.0,0.0,0.0,0.0
3038,0.162,0.0,0.0,0.0,0.0
3039,0.161,0.0,0.0,0.0,0.0
3040,0.161,0.0,0.0,0.0,0.0
3041,0.161,0.0,0.0,0.0,0.0
3042,0.16,0.0,0.0,0.0,0.0
3043,0.16,0.0,0.0,0.0,0.0
3044,0.159,0.0,0.0,0.0,0.0
3045,0.159,0.0,0.0,0.0,0.0
3046,0.158,0.0,0.0,0.0,0.0
3047,0.158,0.0,0.0,0.0,0.0
3048,0.157,0.0,0.0,0.0,0.0
3049,0.157,0.0,0.0,0.0,0.0
3050,0.156,0.0,0.0,0.0,0.0
3051,0.155,0.0,0.0,0.0,0.0
3052,0.155,0.0,0.0,0.0,0.0
3053,0.154,0.0,0.0,0.0,0.0
3054,0.153,0.0,0.0,0.0,0.0
3055,0.152,0.0,0.0,0.0,0.0
3056,0.151,0.0,0.0,0.0,0.0
3057,0.15,0.0,0.0,0.0,0.0
3058,0.149,0.0,0.0,0.0,0.0
3059,0.148,0.0,0.0,0.0,0.0
3060,0.148,0.0,0.0,0.0,0.0
3061,0.147,0.0,0.0,0.0,0.0
3062,0.146,0.0,0.0,0.0,0.0
3063,0.145,0.0,0.0,0.0,0.0
3064,0.144,0.0,0.0,0.0,0.0
3065,0.143,0.0,0.0,0.0,0.0
3066,0.142,0.0,0.0,0.0,0.0
3067,0.141,0.0,0.0,0.0,0.0
3068,0.14,0.0,0.0,0.0,0.0
3069,0.139,0.0,0.0,0.0,0.0
3070,0.138,0.0,0.0,0.0,0.0
3071,0.138,0.0,0.0,0.0,0.0
3072,0.137,0.0,0.0,0.0,0.0
3073,0.136,0.0,0.0,0.0,0.0
3074,0.135,0.0,0.0,0.0,0.0
3075,0.134,0.0,0.0,0.0,0.0
3076,0.134,0.0,0.0,0.0,0.0
3077,0.133,0.0,0.0,0.0,0.0
3078,0.132,0.0,0.0,0.0,0.0
3079,0.132,0.0,0.0,0.0,0.0
3080,0.131,0.0,0.0,0.0,0.0
3081,0.131,0.0,0.0,0.0,0.0
3082,0.131,0.0,0.0,0.0,0.0
3083,0.13,0.0,0.0,0.0,0.0
3084,0.13,0.0,0.0,0.0,0.0
3085,0.13,0.0,0.0,0.0,0.0
3086,0.13,0.0,0.0,0.0,0.0
3087,0.129,0.0,0.0,0.0,0.0
3088,0.129,0.0,0.0,0.0,0.0
3089,0.129,0.0,0.0,0.0,0.0
3090,0.129,0.0,0.0,0.0,0.0
3091,0.129,0.0,0.0,0.0,0.0
3092,0.129,0.0,0.0,0.0,0.0
3093,0.129,0.0,0.0,0.0,0.0
3094,0.128,0.0,0.0,0.0,0.0
3095,0.129,0.0,0.0,0.0,0.0
3096,0.129,0.0,0.0,0.0,0.0
3097,0.129,0.0,0.0,0.0,0.0
3098,0.129,0.0,0.0,0.0,0.0
3099,0.129,0.0,0.0,0.0,0.0
30100,0.129,0.0,0.0,0.0,0.0
30101,0.129,0.0,0.0,0.001,0.0
30102,0.129,0.0,0.0,0.001,0.0
30103,0.129,0.0,0.0,0.001,0.0
30104,0.129,0.0,0.0,0.001,0.0
30105,0.128,0.0,0.0,0.001,0.0
30106,0.128,0.0,0.0,0.001,0.0
30107,0.128,0.0,0.0,0.001,0.0
30108,0.128,0.0,0.0,0.001,0.0
30109,0.128,0.0,0.0,0.001,0.0
30110,0.128,0.0,0.0,0.001,0.0
30111,0.128,0.0,0.0,0.001,0.0
30112,0.127,0.0,0.0,0.001,0.0
