country,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_n2o
Afghanistan,2.3391812865497078e-05,0.00041520467836257316,5.847953216374269e-05,0.0
Africa,0.020847953216374268,0.03736257309941521,0.013830409356725148,0.002608187134502924
Africa (GCP),,,,
Aland Islands,,,,
Albania,0.0,0.0,0.0,0.0
Algeria,0.0003216374269005848,0.0012748538011695906,0.0008888888888888888,0.0
American Samoa,,,,
Andorra,0.0,0.0,0.0,0.0
Angola,0.0010350877192982456,0.0016549707602339183,0.0004736842105263158,0.0
Anguilla,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,,
Antigua and Barbuda,0.0,0.0,0.0,0.0
Argentina,0.004192982456140351,0.0069824561403508765,0.0024385964912280703,0.0002631578947368421
Armenia,0.0,0.0,0.0,0.0
Aruba,0.0,0.0,0.0,0.0
Asia,0.07232163742690059,0.12535087719298244,0.04639766081871345,0.006637426900584795
Asia (GCP),,,,
Asia (excl. China and India),0.04567251461988304,0.07207017543859649,0.023380116959064327,0.00304093567251462
Australia,0.004175438596491228,0.008432748538011696,0.003216374269005848,0.0010233918128654971
Austria,0.0008011695906432749,0.0010760233918128655,0.0002807017543859649,0.0
Azerbaijan,0.00027485380116959066,0.00046198830409356726,6.432748538011695e-05,0.0
Bahamas,0.0,0.0,0.0,0.0
Bahrain,0.0,0.00029239766081871346,0.00027485380116959066,0.0
Bangladesh,0.0009181286549707603,0.0025087719298245614,0.0013157894736842105,0.00014035087719298245
Barbados,0.0,0.0,0.0,0.0
Belarus,0.0012631578947368421,0.001847953216374269,0.00037426900584795324,9.941520467836258e-05
Belgium,0.0021403508771929824,0.00260233918128655,0.0003450292397660819,0.0
Belize,0.0,0.0,0.0,0.0
Benin,3.508771929824561e-05,0.0001345029239766082,0.0,0.0
Bermuda,0.0,0.0,,
Bhutan,0.0,0.0,0.0,0.0
Bolivia,0.0010292397660818713,0.0014269005847953216,0.000304093567251462,0.0
Bonaire Sint Eustatius and Saba,0.0,0.0,,
Bosnia and Herzegovina,0.0001111111111111111,0.0002690058479532164,0.0,0.0
Botswana,0.0,0.00011695906432748539,0.0,0.0
Brazil,0.012304093567251463,0.018678362573099416,0.005684210526315789,0.0005789473684210527
British Virgin Islands,0.0,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0
Bulgaria,0.0004327485380116959,0.000760233918128655,0.0002514619883040936,0.0
Burkina Faso,5.847953216374269e-06,0.00021637426900584795,7.60233918128655e-05,0.0
Burundi,0.0,3.508771929824561e-05,0.0,0.0
Cambodia,0.00039181286549707604,0.0006257309941520467,0.0001695906432748538,0.0
Cameroon,0.0004912280701754386,0.0007485380116959065,0.00019298245614035088,0.0
Canada,0.008713450292397661,0.01097076023391813,0.0017777777777777776,0.00030994152046783625
Cape Verde,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.00031578947368421053,5.847953216374269e-05,0.0
Central America (GCP),,,,
Chad,0.0,0.0003976608187134503,0.00015789473684210527,0.0
Chile,0.0008947368421052632,0.0012982456140350877,0.0003216374269005848,0.0
China,0.018771929824561405,0.033210526315789475,0.012771929824561405,0.0015964912280701756
Christmas Island,0.0,0.0,,
Colombia,0.0034561403508771927,0.00464327485380117,0.0010350877192982456,1.1695906432748539e-05
Comoros,0.0,0.0,0.0,0.0
Congo,0.0004035087719298246,0.0005087719298245614,9.356725146198831e-05,0.0
Cook Islands,0.0,0.0,0.0,0.0
Costa Rica,0.0002690058479532164,0.00031578947368421053,0.0,0.0
Cote d'Ivoire,0.0013274853801169592,0.0014795321637426902,4.093567251461989e-05,0.0
Croatia,0.00014619883040935673,0.0002807017543859649,0.0,0.0
Cuba,0.0006491228070175439,0.001152046783625731,0.0005087719298245614,0.0
Curacao,0.0,0.0,,
Cyprus,0.0,0.0,0.0,0.0
Czechia,0.00156140350877193,0.00208187134502924,0.0004035087719298246,0.0
Democratic Republic of Congo,0.0017017543859649121,0.0022046783625730994,0.0003391812865497076,0.0
Denmark,0.0006198830409356725,0.0009415204678362573,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0
Dominica,0.0,0.0,0.0,0.0
Dominican Republic,0.00020467836257309944,0.0003333333333333333,0.0,0.0
East Timor,0.0,0.0,0.0,0.0
Ecuador,0.0006783625730994152,0.0009356725146198831,0.00019298245614035088,0.0
Egypt,0.0003976608187134503,0.0011695906432748538,0.0006374269005847953,0.0
El Salvador,0.0,0.00020467836257309944,0.0,0.0
Equatorial Guinea,0.0,6.432748538011695e-05,0.0,0.0
Eritrea,0.0,0.0,0.0,0.0
Estonia,0.0002280701754385965,0.0002807017543859649,0.0,0.0
Eswatini,0.0,0.0,0.0,0.0
Ethiopia,0.0010584795321637427,0.002362573099415205,0.00104093567251462,0.00020467836257309944
Europe,0.08972514619883042,0.12505263157894736,0.029514619883040934,0.005766081871345029
Europe (GCP),,,,
Europe (excl. EU-27),0.048590643274853795,0.06703508771929824,0.015830409356725146,0.0025789473684210526
Europe (excl. EU-28),0.03378947368421052,0.04815204678362573,0.012292397660818712,0.00204093567251462
European Union (27),0.041146198830409354,0.058029239766081875,0.013713450292397662,0.0031637426900584797
European Union (27) (GCP),,,,
European Union (28),0.055953216374269005,0.07693567251461988,0.017245614035087717,0.003690058479532164
Falkland Islands,,,,
Faroe Islands,0.0,0.0,,
Fiji,0.0,0.0,0.0,0.0
Finland,0.0006959064327485381,0.0011111111111111111,0.0003216374269005848,0.0
France,0.00547953216374269,0.008497076023391814,0.0023976608187134506,0.000497076023391813
French Equatorial Africa (GCP),,,,
French Equatorial Africa (Jones et al. 2023),0.0,0.0,,
French Guiana,,,,
French Polynesia,0.0,0.0,,
French West Africa (GCP),,,,
French West Africa (Jones et al. 2023),0.0,0.0,,
Gabon,0.0002280701754385965,0.00029239766081871346,0.00014035087719298245,0.0
Gambia,0.0,0.0,0.0,0.0
Georgia,0.0,0.00018128654970760234,0.0,0.0
Germany,0.01391812865497076,0.017742690058479532,0.0031578947368421056,0.0006023391812865497
Ghana,0.00027485380116959066,0.0004502923976608187,4.093567251461989e-05,0.0
Greece,0.0004035087719298246,0.0007660818713450293,0.00023976608187134505,0.0
Greenland,0.0,0.0,,
Grenada,0.0,0.0,0.0,0.0
Guadeloupe,,,,
Guatemala,0.000497076023391813,0.0006023391812865497,5.847953216374269e-05,0.0
Guernsey,,,,
Guinea,0.000543859649122807,0.000672514619883041,4.093567251461989e-05,0.0
Guinea-Bissau,0.0,0.0,0.0,0.0
Guyana,1.1695906432748539e-05,0.0001286549707602339,0.0,0.0
Haiti,0.0,0.00012280701754385965,0.0,0.0
High-income countries,0.16470760233918127,0.2191988304093567,0.04503508771929825,0.00947953216374269
Honduras,0.0003976608187134503,0.0004444444444444444,0.0,0.0
Hong Kong,8.187134502923977e-05,0.0001345029239766082,0.0,0.0
Hungary,0.0006783625730994152,0.0010994152046783627,5.2631578947368424e-05,0.0
Iceland,0.0,0.0,0.0,0.0
India,0.007871345029239767,0.020087719298245613,0.010269005847953216,0.001888888888888889
Indonesia,0.011116959064327485,0.014660818713450293,0.003023391812865497,0.0004444444444444444
International transport,0.0029064327485380115,0.0029064327485380115,,
Iran,0.001368421052631579,0.0032631578947368424,0.0016432748538011696,5.2631578947368424e-05
Iraq,0.0002807017543859649,0.0014444444444444444,0.0011052631578947368,0.0
Ireland,0.000152046783625731,-0.00017543859649122806,-0.0005146198830409356,0.0
Isle of Man,,,,
Israel,0.0001286549707602339,0.0004327485380116959,0.00019883040935672516,0.0
Italy,0.002543859649122807,0.003842105263157895,0.0008771929824561404,0.00023391812865497077
Jamaica,0.0,0.0,0.0,0.0
Japan,0.006485380116959065,0.007830409356725146,0.001046783625730994,0.0002456140350877193
Jersey,,,,
Jordan,0.0,2.3391812865497078e-05,0.0,0.0
Kazakhstan,0.0031871345029239767,0.004637426900584795,0.001128654970760234,0.0001286549707602339
Kenya,0.00021637426900584795,0.0006959064327485381,0.0003333333333333333,0.0
Kiribati,0.0,0.0,0.0,0.0
Kosovo,0.0,0.0,,
Kuwait,0.00019298245614035088,0.0006374269005847953,0.00037426900584795324,0.0
Kuwaiti Oil Fires (GCP),,,,
Kuwaiti Oil Fires (Jones et al. 2023),0.0,0.0,,
Kyrgyzstan,0.00015789473684210527,0.0002865497076023392,0.0,0.0
Laos,0.0001695906432748538,0.00030994152046783625,0.0,0.0
Latvia,0.0002280701754385965,0.000304093567251462,0.0,0.0
Least developed countries (Jones et al. 2023),0.01653801169590643,0.028362573099415204,0.009432748538011695,0.0023567251461988304
Lebanon,0.0,1.1695906432748539e-05,0.0,0.0
Leeward Islands (GCP),,,,
Leeward Islands (Jones et al. 2023),0.0,0.0,,
Lesotho,0.0,0.0,0.0,0.0
Liberia,5.2631578947368424e-05,9.941520467836258e-05,0.0,0.0
Libya,0.00012280701754385965,0.0008888888888888888,0.0006842105263157895,0.0
Liechtenstein,0.0,0.0,0.0,0.0
Lithuania,0.0003625730994152047,0.0005730994152046783,0.0,0.0
Low-income countries,0.009175438596491227,0.015976608187134506,0.005362573099415205,0.0013918128654970762
Lower-middle-income countries,0.05,0.08847368421052632,0.0332280701754386,0.0052690058479532165
Luxembourg,0.0,0.0,0.0,0.0
Macao,0.0,0.0,0.0,0.0
Madagascar,0.0010584795321637427,0.0014502923976608187,0.000304093567251462,0.0
Malawi,0.0001345029239766082,0.00023391812865497077,0.0,0.0
Malaysia,0.0016666666666666668,0.002152046783625731,0.0003274853801169591,0.0
Maldives,0.0,0.0,0.0,0.0
Mali,0.0,0.00023391812865497077,9.941520467836258e-05,0.0
Malta,0.0,0.0,0.0,0.0
Marshall Islands,0.0,0.0,0.0,0.0
Martinique,,,,
Mauritania,0.0,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0
Mayotte,,,,
Mexico,0.00335672514619883,0.005508771929824561,0.0018421052631578947,0.0002105263157894737
Micronesia (country),0.0,0.0,0.0,0.0
Middle East (GCP),,,,
Moldova,0.0002514619883040936,0.00029824561403508774,0.0,0.0
Mongolia,0.0004736842105263158,0.0008070175438596492,5.2631578947368424e-05,0.0
Montenegro,0.0,0.0,0.0,0.0
Montserrat,0.0,0.0,,
Morocco,0.0002690058479532164,0.0006374269005847953,0.00023976608187134505,0.0
Mozambique,0.0005789473684210527,0.000871345029239766,0.00012280701754385965,0.0
Myanmar,0.002865497076023392,0.004076023391812865,0.0009824561403508772,3.508771929824561e-05
Namibia,0.0,0.0,0.0,0.0
Nauru,0.0,0.0,0.0,0.0
Nepal,0.00027485380116959066,0.0006374269005847953,0.0002514619883040936,0.0
Netherlands,0.0014152046783625731,0.002216374269005848,0.0005380116959064328,1.7543859649122806e-05
Netherlands Antilles,,,,
New Caledonia,0.0,0.0,,
New Zealand,0.0011228070175438596,0.0021228070175438596,0.0007134502923976608,0.00010526315789473685
Nicaragua,0.000456140350877193,0.0005789473684210527,0.0,0.0
Niger,0.0001345029239766082,0.00041520467836257316,8.187134502923977e-05,0.0
Nigeria,0.001976608187134503,0.004783625730994152,0.002631578947368421,7.60233918128655e-05
Niue,0.0,0.0,0.0,0.0
Non-OECD (GCP),,,,
North America,0.09939181286549707,0.1262982456140351,0.022380116959064326,0.0044736842105263155
North America (GCP),,,,
North America (excl. USA),0.015842105263157893,0.021725146198830408,0.0050526315789473685,0.0007485380116959065
North Korea,0.0006432748538011696,0.0010058479532163744,0.0002280701754385965,0.0
North Macedonia,0.0,0.0,0.0,0.0
Norway,0.00029824561403508774,0.0006315789473684211,0.0001695906432748538,0.0
OECD (GCP),,,,
OECD (Jones et al. 2023),0.16946198830409356,0.2249941520467836,0.04560233918128655,0.009953216374269006
Oceania,0.00560233918128655,0.010877192982456142,0.003982456140350877,0.0012690058479532165
Oceania (GCP),,,,
Oman,2.3391812865497078e-05,0.00023976608187134505,0.00016374269005847955,0.0
Pakistan,0.0006023391812865497,0.002415204678362573,0.001432748538011696,0.00015789473684210527
Palau,0.0,0.0,0.0,0.0
Palestine,0.0,0.0,,
Panama,0.00015789473684210527,0.0002690058479532164,0.0,0.0
Panama Canal Zone (GCP),,,,
Panama Canal Zone (Jones et al. 2023),0.0,0.0,,
Papua New Guinea,0.00010526315789473685,0.00015789473684210527,0.0,0.0
Paraguay,0.00039181286549707604,0.000672514619883041,0.00018713450292397662,0.0
Peru,0.0009005847953216374,0.0014619883040935672,0.0004035087719298246,0.0
Philippines,0.002327485380116959,0.0035146198830409356,0.0010350877192982456,0.0
Poland,0.0036198830409356723,0.006,0.002111111111111111,0.0002573099415204678
Portugal,0.00019298245614035088,0.0004736842105263158,0.0001286549707602339,0.0
Puerto Rico,0.0,0.0,,
Qatar,7.017543859649122e-05,0.0003567251461988304,0.0002222222222222222,0.0
Reunion,,,,
Romania,0.0011578947368421054,0.0020116959064327487,0.0006549707602339182,0.0
Russia,0.025035087719298244,0.03505847953216374,0.008783625730994152,0.0011754385964912282
Rwanda,0.0,4.093567251461989e-05,0.0,0.0
Ryukyu Islands (GCP),,,,
Ryukyu Islands (Jones et al. 2023),0.0,0.0,,
Saint Helena,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,0.0,0.0,0.0,0.0
Saint Lucia,0.0,0.0,0.0,0.0
Saint Martin (French part),,,,
Saint Pierre and Miquelon,0.0,0.0,,
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0
Samoa,0.0,0.0,0.0,0.0
Sao Tome and Principe,0.0,0.0,0.0,0.0
Saudi Arabia,0.0007953216374269006,0.001672514619883041,0.0008304093567251463,0.0
Senegal,0.0,0.00023391812865497077,0.0,0.0
Serbia,0.0002807017543859649,0.000608187134502924,0.00011695906432748539,0.0
Seychelles,0.0,0.0,0.0,0.0
Sierra Leone,0.0001111111111111111,0.0002456140350877193,0.0,0.0
Singapore,0.0001345029239766082,0.00016374269005847955,0.0,0.0
Sint Maarten (Dutch part),0.0,0.0,,
Slovakia,0.0005087719298245614,0.0006842105263157895,0.0,0.0
Slovenia,0.0,0.0001345029239766082,0.0,0.0
Solomon Islands,0.0,0.0,0.0,0.0
Somalia,0.0,0.000304093567251462,0.0002514619883040936,0.0
South Africa,0.002631578947368421,0.0038771929824561405,0.0009824561403508772,0.000152046783625731
South America,0.02669590643274854,0.04142690058479532,0.013333333333333332,0.0013099415204678364
South America (GCP),,,,
South Korea,0.0011578947368421054,0.0016666666666666666,0.0003976608187134503,0.0
South Sudan,1.1695906432748539e-05,0.0005497076023391813,0.0002631578947368421,0.00010526315789473685
